Experiment,Model,Accuracy,Precision,Sensitivity (Recall),Specificity,F1-Score,ROC-AUC,Inference (ms)
CHB_to_CHB,cnn_swin,0.9366602687140115,0.8910256410256411,0.896774193548387,0.953551912568306,0.8938906752411575,0.9684822845055526,132.93497987992475
CHB_to_SEIZE,cnn_swin,0.6716826265389877,0.40772532188841204,0.48223350253807107,0.7415730337078652,0.4418604651162791,0.6345177664974619,42.465270299428795
SEIZE_to_CHB,cnn_swin,0.7389635316698656,0.5673758865248227,0.5161290322580645,0.8333333333333334,0.5405405405405406,0.7190022915564956,131.78571492376346
SEIZE_to_SEIZE,cnn_swin,0.8248974008207934,0.6363636363636364,0.817258883248731,0.8277153558052435,0.7155555555555555,0.9043327819920531,42.12813925319102
CHB_to_CHB,cnn_lstm,0.8867562380038387,0.7891566265060241,0.8451612903225807,0.9043715846994536,0.8161993769470405,0.9337211352018332,135.1416156754155
CHB_to_SEIZE,cnn_lstm,0.49247606019151846,0.30045871559633025,0.6649746192893401,0.4288389513108614,0.41390205371248023,0.5386889484590962,42.57276739858896
SEIZE_to_CHB,cnn_lstm,0.7389635316698656,0.594059405940594,0.3870967741935484,0.8879781420765027,0.46875,0.65231799753217,132.96471676304793
SEIZE_to_SEIZE,cnn_lstm,0.8303693570451436,0.658008658008658,0.7715736040609137,0.8520599250936329,0.7102803738317757,0.8997604517196145,41.74139463787366
CHB_to_CHB,cnn_gnn,0.8867562380038387,0.7758620689655172,0.8709677419354839,0.8934426229508197,0.8206686930091185,0.9337563899171514,131.0446541506132
CHB_to_SEIZE,cnn_gnn,0.6224350205198358,0.36789297658862874,0.5583756345177665,0.6460674157303371,0.4435483870967742,0.6280537652807088,43.276232016233344
SEIZE_to_CHB,cnn_gnn,0.7178502879078695,0.5217391304347826,0.6193548387096774,0.7595628415300546,0.5663716814159292,0.7214348669134496,131.6698261048652
SEIZE_to_SEIZE,cnn_gnn,0.7838577291381669,0.5656565656565656,0.8527918781725888,0.7584269662921348,0.680161943319838,0.8827734367573528,41.79836787212075
