Model,Accuracy,Precision,Sensitivity (Recall),Specificity,F1-Score,ROC-AUC,Inference (ms)
cnn_lstm,0.45633971291866027,0.4553140096618358,0.9908015768725361,0.009879253567508232,0.6239139429044269,0.5767758928326729,14.594262724287772
cnn_swin,0.4533492822966507,0.45410917816436713,0.9947437582128777,0.0010976948408342481,0.6235584843492586,0.5644949810391608,12.702208386653918
cnn_gnn,0.4647129186602871,0.45944309927360777,0.9973718791064389,0.019758507135016465,0.629092416079569,0.5812157150666911,12.729439153625636
